#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:33.922996573Z,160.0783,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:35.9223566Z,159.9934,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:37.922873784Z,168.556,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:39.922588211Z,164.4838,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:41.922932337Z,160.8326,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:43.92254897Z,161.7315,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:45.922171911Z,163.9106,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:47.922765203Z,161.6486,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:49.922265969Z,157.6894,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:51.922747766Z,152.6455,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:53.922565029Z,152.8957,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:55.92289743Z,147.5243,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:57.92230837Z,162.1787,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:20:59.922933557Z,149.5656,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:01.92248131Z,155.8666,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:03.923013333Z,158.5191,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:05.922575304Z,160.5752,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:07.922356231Z,160.6553,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:09.922891852Z,162.8868,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:11.922307065Z,155.5254,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:13.923060411Z,162.5219,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:15.922605028Z,159.6732,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
,,0,2024-01-24T01:04:30.844186132Z,2024-02-23T01:04:30.844186132Z,2024-02-22T07:21:17.92297078Z,164.1404,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (EZH2_IP_NTKO_REP1_T1) (79),1498634,79
