#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:45.090525156Z,14.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:47.091104859Z,18.46,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:49.090605696Z,20.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:51.09120998Z,22.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:53.090625366Z,24.06,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:55.091203949Z,25.07,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:57.090861183Z,26.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:19:59.090316261Z,29.42,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:20:01.090925596Z,30.7,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
,,0,2024-01-24T01:04:32.534062338Z,2024-02-23T01:04:32.534062338Z,2024-02-22T15:20:03.090306052Z,32.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (EZH2_IP_TKO_REP1) (221),2880019,221
