#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:39:54.486715571Z,13.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:39:56.48617783Z,17.57,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:39:58.486739946Z,18.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:00.486237559Z,19.71,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:02.486872479Z,20.45,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:04.486282641Z,20.69,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:06.48680911Z,21.19,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:08.486259675Z,22.51,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:10.486793367Z,22.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:12.486204053Z,23.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
,,0,2024-01-24T01:04:33.020664657Z,2024-02-23T01:04:33.020664657Z,2024-02-22T14:40:14.486587531Z,23.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (INPUT_NTKO_REP2) (196),2631817,196
