#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:10.07259066Z,456.6112,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:12.072221816Z,600.5557,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:14.072762211Z,605.0935,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:16.072228683Z,604.6387,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:18.07276991Z,427.7593,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:20.072309065Z,546.9156,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:22.072659986Z,599.0876,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:24.072082559Z,595.6472,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:26.072595486Z,587.5991,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
,,0,2024-01-24T01:04:26.369684851Z,2024-02-23T01:04:26.369684851Z,2024-02-22T03:45:28.072096953Z,597.6425,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (FOXA1_IP_VEH_REP1_T1) (64),1018788,64
