#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:36.834734522Z,2038.72,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:38.834222853Z,5504.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:40.834631344Z,5132.21,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:42.834209516Z,5143.24,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:44.834813101Z,5153.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:46.834300099Z,5160.94,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:48.83485033Z,5165.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:50.834348676Z,5170,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:53.834869765Z,5174.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
,,0,2024-01-24T01:04:26.455836156Z,2024-02-23T01:04:26.455836156Z,2024-02-22T09:22:55.834345937Z,5178.06,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_E2_REP1_T1) (93),1743419,93
