#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:05.986406189Z,413.8095,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:07.987002013Z,500.1517,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:09.986269643Z,607.2016,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:11.986708871Z,601.3976,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:13.986233908Z,607.4816,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:15.986728687Z,473.0734,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:17.98612816Z,613.5311,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:19.986627888Z,602.5052,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:21.986119633Z,602.7264,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
,,0,2024-01-24T01:04:26.760681341Z,2024-02-23T01:04:26.760681341Z,2024-02-22T10:43:23.986569859Z,598.6751,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2_T1) (113),1911863,113
