#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:00.482294362Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0003.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:00.489469025Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0005.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:00.564513073Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0001.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:00.585227087Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0004.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:00.635933104Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0002.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:00.640663378Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0000.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:09.028649324Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:26.706896503Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0000.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:26.731920057Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0001.bam,1794583,103
,,0,2024-01-24T01:04:26.828233838Z,2024-02-23T01:04:26.828233838Z,2024-02-22T09:38:26.751239584Z,DELETE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP1_T1) (103),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/2d/2b5554d6e79ea3e58979c08e94f4d3/INPUT_VEH_REP1_T1.Lb.sorted.0002.bam,1794583,103
