#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:14.67357266Z,2165.72,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:17.674124092Z,5439.93,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:19.673454143Z,5131.61,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:21.673985912Z,5142.7,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:23.673389175Z,5153.4,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:25.674121391Z,5157.76,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:27.673720851Z,5165.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:29.674043933Z,5169.23,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:31.673556109Z,5173.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:33.674009106Z,5177.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:35.673614795Z,5181.91,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:37.673010288Z,5185.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:39.6736432Z,5190,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
,,0,2024-01-24T01:04:26.862596535Z,2024-02-23T01:04:26.862596535Z,2024-02-22T09:45:41.67328109Z,5194.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_VEH_REP2_T1) (108),1817099,108
