#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:37.294904371Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0004.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:37.308125638Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0001.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:37.357195171Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0003.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:37.365919402Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0000.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:37.376123441Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0002.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:37.382335172Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0005.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:45.624104184Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0011.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:45.653656487Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0008.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:45.68505501Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0010.bam,665827,435
,,0,2024-01-24T01:04:27.613597231Z,2024-02-23T01:04:27.613597231Z,2024-02-22T20:59:45.714279933Z,CREATE,file_event,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP1) (435),/home/jfechner/test-nfcore-workflows/profile_test_full/chipseq/work/0f/32730bb8268bd66f294d19991f229c/INPUT_TKO_REP1.mLb.clN.sorted.0009.bam,665827,435
