#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:08.71949017Z,386.1588,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:10.719869204Z,430.479,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:12.71937745Z,603.0805,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:14.720087985Z,594.3105,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:16.719510589Z,503.0914,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:18.719901794Z,568.8281,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:20.719396711Z,601.1878,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:22.719988912Z,613.8029,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:24.719648094Z,231.9754,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
,,0,2024-01-24T01:04:27.661352894Z,2024-02-23T01:04:27.661352894Z,2024-02-22T17:42:26.720312879Z,548.195,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (INPUT_TKO_REP2) (279),3687083,279
