#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:19.051434636Z,14.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:21.051936093Z,15.49,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:23.051424331Z,16.62,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:25.051883603Z,16.73,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:27.0515094Z,17.28,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:29.051877385Z,17.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:31.05183955Z,17.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:33.052147488Z,18.12,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:35.051708546Z,17.67,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:37.052138474Z,17.67,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:39.051739148Z,18.09,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:41.051197412Z,17.9,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:43.051871596Z,18.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:45.051441408Z,17.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:47.052121979Z,17.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
,,0,2024-01-24T01:05:08.631704582Z,2024-02-23T01:05:08.631704582Z,2024-02-22T15:27:49.051443729Z,19.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),NFCORE_CHIPSEQ:CHIPSEQ:MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (INPUT_E2_REP1) (240),2946628,240
