#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:01.314480911Z,114.2059,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:03.315172321Z,103.7489,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:05.314636333Z,105.6922,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:07.315199919Z,105.4749,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:09.314868276Z,105.2728,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:11.314276415Z,100.351,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:13.314858031Z,100.5487,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:15.314370022Z,105.5508,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:17.315007878Z,100.8308,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:19.314513959Z,100.8301,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:21.315106394Z,100.4835,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:23.314622343Z,100.651,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:25.315344412Z,105.6702,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:27.315030906Z,100.4998,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
,,0,2024-01-24T01:04:36.690501267Z,2024-02-23T01:04:36.690501267Z,2024-02-22T01:59:29.314513374Z,100.6243,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1) (11),618690,11
