#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:39:54.595471976Z,162.5399,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:39:56.596163196Z,105.0778,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:39:58.595709619Z,105.3882,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:00.596355117Z,105.1409,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:02.595902799Z,105.205,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:04.595348718Z,99.8385,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:06.595934724Z,100.0754,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:08.595478575Z,105.5464,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:10.596114022Z,103.9018,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:12.595513949Z,100.0132,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:14.596043813Z,100.0478,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:16.595513292Z,99.9287,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:18.596300823Z,105.0184,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
,,0,2024-01-24T01:04:37.162360247Z,2024-02-23T01:04:37.162360247Z,2024-02-22T02:40:20.595847614Z,99.9887,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_NTKO_REP2_T1) (26),784103,26
