#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:32.675732097Z,163.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:34.676284679Z,256.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:36.675653844Z,827.82,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:38.676469765Z,965.75,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:40.675889401Z,981.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:42.67542548Z,981.54,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:44.676076255Z,982.36,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:46.675905994Z,983.57,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:48.675412703Z,984.53,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:50.675869612Z,984.64,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
,,0,2024-01-24T01:04:37.337943779Z,2024-02-23T01:04:37.337943779Z,2024-02-22T02:13:52.67537808Z,984.9,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_VEH_REP1_T1) (32),667143,32
