#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:06.580007492Z,462.7281,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:08.579804425Z,674.0752,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:10.579178225Z,685.8241,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:12.580135585Z,672.0824,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:14.579572786Z,656.794,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:16.579988639Z,684.1178,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:18.579569455Z,652.8116,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:20.58004295Z,655.2779,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:22.579501631Z,681.797,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.716529933Z,2024-02-23T01:04:37.716529933Z,2024-02-22T02:42:24.579989165Z,642.9401,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
