#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:06.580007492Z,136.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:08.579804425Z,217.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:10.579178225Z,307.72,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:12.580135585Z,380.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:14.579572786Z,464.6,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:16.579988639Z,542.69,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:18.579569455Z,636.94,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:20.58004295Z,706.56,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:22.579501631Z,813.7,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:24.579989165Z,885.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:26.579654014Z,970.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:28.580154419Z,1038.77,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:30.579593229Z,1132.12,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:32.579215846Z,1220.68,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
,,0,2024-01-24T01:04:37.689735322Z,2024-02-23T01:04:37.689735322Z,2024-02-22T02:42:34.579987159Z,1290.22,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP2_T1) (10),791929,10
