#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:38.303333108Z,223.7763,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:40.303879747Z,666.6948,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:42.303307874Z,692.949,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:44.303840141Z,678.2067,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:46.30338533Z,659.0271,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:48.303915484Z,679.4089,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:50.30342182Z,659.6581,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:52.303603901Z,655.2653,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:54.303422785Z,674.8211,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
,,0,2024-01-24T01:04:38.308229025Z,2024-02-23T01:04:38.308229025Z,2024-02-22T05:54:56.303927744Z,662.9573,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_TKO_REP1_T1) (28),1325374,28
