#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:01.614030208Z,102.3584,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:04.61373119Z,104.9404,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:06.614429321Z,105.3861,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:08.614044807Z,104.8392,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:10.613645293Z,105.0199,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:12.614040196Z,99.5976,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:14.613594212Z,100.0454,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:16.614124099Z,104.2928,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:18.613628624Z,98.8316,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:20.614180884Z,100.0545,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:22.613563747Z,99.9307,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:24.614157639Z,99.19,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:26.613754149Z,104.4427,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:28.614267439Z,100.3838,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:30.61353463Z,99.5228,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:32.614168745Z,99.4872,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:34.613755037Z,99.4192,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:36.613249147Z,104.7237,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:38.613803441Z,99.4648,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:40.614294343Z,99.3459,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:42.613784464Z,99.6537,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:44.613161182Z,99.5879,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:46.61378039Z,104.8393,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:48.613228541Z,99.6492,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:50.61383765Z,99.0928,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:52.613397795Z,99.2416,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:54.613883011Z,99.8711,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:56.613467768Z,105.2247,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:37:58.613900893Z,99.556,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:00.61342787Z,99.1643,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:02.613951879Z,100.3826,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:04.613431015Z,99.6731,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:06.614023806Z,102.18,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:08.613470252Z,99.8856,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:10.6142092Z,99.4931,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:12.613584494Z,100.1691,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:14.613067372Z,99.2518,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:16.613653266Z,105.4581,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:18.613537528Z,99.7406,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:20.613355759Z,99.9525,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:22.614308556Z,99.4363,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:24.613693243Z,99.3709,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:26.613293998Z,104.933,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
,,0,2024-01-24T01:04:52.535634807Z,2024-02-23T01:04:52.535634807Z,2024-02-22T21:38:28.613977158Z,99.1316,docker_cpu_usage_pct,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (EZH2_IP_TKO_REP1) (451),878161,451
