#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:34.772102919Z,11.02,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:36.772410166Z,12.69,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:38.77186959Z,13.79,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:40.771519935Z,15.16,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:42.771270691Z,15.41,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:44.772453967Z,15.6,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:46.771848742Z,15.57,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:48.771790179Z,16.07,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:50.771544616Z,15.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
,,0,2024-01-24T01:04:53.059503203Z,2024-02-23T01:04:53.059503203Z,2024-02-22T22:21:52.771992672Z,15.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_TKO_REP1) (499),1135883,499
