#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:43.872769711Z,11.33,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:45.872293745Z,13.7,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:47.872657586Z,16.18,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:49.872243044Z,17.81,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:51.872756302Z,18.2,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:53.872378433Z,18.05,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:55.872897323Z,18.08,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:57.872450983Z,18.95,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:32:59.873041927Z,18.74,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:33:01.872559518Z,18.86,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:33:03.872473462Z,19.59,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:33:05.872561722Z,19.48,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:33:07.872160108Z,20.71,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:33:09.872761086Z,20.32,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
,,0,2024-01-24T01:04:53.217441438Z,2024-02-23T01:04:53.217441438Z,2024-02-22T21:33:11.872270511Z,20.37,docker_used_memory_mb,NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),NFCORE_CHIPSEQ:CHIPSEQ:UCSC_BEDGRAPHTOBIGWIG (INPUT_VEH_REP2) (449),852005,449
