#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:27:49.53526311Z,1046.92,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:27:53.532257018Z,1217.45,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:27:57.532835188Z,808.18,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:01.532191022Z,923.77,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:08.532845694Z,1096.71,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:11.532948686Z,1176.96,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:16.539360951Z,1322.93,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:20.53199123Z,1467.04,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:23.532344244Z,1551.22,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:29.533072455Z,1712.37,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:34.532292233Z,1766.11,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:41.535681276Z,1833.97,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:48.535573709Z,1904.29,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:51.532165868Z,1930.82,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:28:56.534718668Z,1977.22,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:03.532650033Z,2050.57,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:09.531978309Z,2086.12,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:12.531793853Z,2086.12,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:18.531718273Z,2086.31,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:23.532489334Z,2086.31,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:26.532371225Z,2086.09,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:29.532147353Z,2086.2,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:32.532546311Z,2086.2,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:37.53202069Z,2085.97,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:44.5321128Z,2086.35,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:52.531785523Z,2086.16,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
,,150071,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-01-31T12:29:57.532001115Z,2086.53,docker_used_memory_mb,spat_lucas,spat_lucas,103487,1
