#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:04.682087625Z,64.27,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:09.707394049Z,204.8,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:12.663139235Z,276.29,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:16.856251133Z,465.7,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:20.663197906Z,829.97,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:23.689555835Z,1235.38,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:27.667222474Z,1326.04,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:31.663240441Z,1368.09,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:36.667515417Z,1737.04,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
,,156511,2024-01-21T21:55:50.937529229Z,2024-02-20T21:55:50.937529229Z,2024-02-01T02:57:40.691199723Z,1906.27,docker_used_memory_mb,stms_ls (32),stms_ls (32),766588,143778
