#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:17.033652655Z,21.51,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:19.034078666Z,23.9,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:21.03359236Z,25.99,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:23.034127136Z,26.84,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:25.033468505Z,29.48,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:27.033991369Z,31.2,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:29.033673269Z,31.25,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:31.034440541Z,33.91,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:33.03376647Z,35.75,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:35.034267584Z,36.29,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:37.033899982Z,38.56,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:39.034760727Z,38.78,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:41.033626892Z,39.59,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:43.033931601Z,40.75,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:45.033411224Z,41.91,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:47.034012092Z,46.54,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:49.03332058Z,47.23,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:51.033945378Z,48.39,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:53.033412932Z,193.43,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:55.033904916Z,370.85,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:57.033316728Z,548.67,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:04:59.033551654Z,717.71,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:01.033213614Z,877.59,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:03.033726819Z,1049.44,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:05.034186492Z,1227.52,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:07.03344839Z,1405.1,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:09.03380477Z,1568.63,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:11.034291234Z,1746.03,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:13.033612064Z,1926.46,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:15.03417003Z,2104.79,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
,,0,2024-01-26T11:18:22.519752816Z,2024-02-25T11:18:22.519752816Z,2024-02-24T11:05:17.033547941Z,2285.05,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),NFCORE_MAG:MAG:BOWTIE2_HOST_REMOVAL_BUILD (hg19_main_mask_ribo_animal_allplant_allfungus.fa.gz) (4),2988168,4
