#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:16.16875554Z,42.81,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:18.168050622Z,45.63,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:20.16842388Z,46.25,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:22.169141929Z,47.62,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:24.1683754Z,49.1,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:26.168628964Z,50.7,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:28.168199175Z,49.34,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:30.168683477Z,49.41,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:32.168232508Z,50.23,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:34.168792132Z,50.23,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:36.168168347Z,50.33,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:38.168570676Z,51.01,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:40.169066707Z,50.65,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:42.168280497Z,51.25,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:44.168622943Z,51.07,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:46.16806534Z,51.27,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
,,0,2024-01-26T11:16:50.6139112Z,2024-02-25T11:16:50.6139112Z,2024-02-24T13:29:48.168236851Z,51.56,docker_used_memory_mb,NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (CAPES_S7_run0) (26),11768,26
