#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:28.726848353Z,20.05,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:30.727243656Z,71.03,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:32.727824475Z,73.59,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:34.726153111Z,142.75,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:37.733339104Z,460.6,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:39.7282065Z,232.03,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:41.726843714Z,101.61,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:43.729322582Z,106.62,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:45.72837177Z,109.05,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:47.731856909Z,353.87,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
,,0,2024-01-26T11:16:14.924551464Z,2024-02-25T11:16:14.924551464Z,2024-02-24T23:43:49.732092824Z,462.29,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),525184,309
