#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:51:45.078850794Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/.command.trace,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:51:45.095997801Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp_1.fastq.gz,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:51:45.099758775Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp_2.fastq.gz,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:51:45.104362527Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp.fastp.log,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:51:52.46759494Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp_1.fastp.fastq.gz,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:51:52.470589149Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp_2.fastp.fastq.gz,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:53:06.392848779Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp.fastp.json,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:53:06.399875101Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/CAPES_S7_run0_fastp.fastp.html,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:53:06.710951498Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/versions.yml,3858050,16
,,0,2024-01-26T11:16:20.921398807Z,2024-02-25T11:16:20.921398807Z,2024-02-24T12:53:12.434180988Z,CREATE,file_event,NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),NFCORE_MAG:MAG:FASTP (CAPES_S7_run0) (16),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/27/485cd1840f0b6455a6cdf23328ea26/.exitcode,3858050,16
