#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:16.866568497Z,241.43,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:18.867028459Z,256.1,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:20.866591843Z,273.11,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:22.867194111Z,299.46,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:24.866780536Z,318.61,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:26.866502865Z,354.22,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:28.867085463Z,372.73,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:30.866610757Z,394.35,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:32.867111401Z,415.99,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:34.867020458Z,466.46,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:36.866442229Z,491.97,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
,,0,2024-01-26T11:16:58.893272391Z,2024-02-25T11:16:58.893272391Z,2024-02-24T20:42:38.867191322Z,512.39,docker_used_memory_mb,NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),NFCORE_MAG:MAG:FILTLONG (CAPES_S7) (41),2155443,41
