#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:31.472554266Z,101.9257,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:33.473142512Z,106.2963,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:35.472537916Z,106.6035,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:37.473453333Z,106.1454,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:39.472928079Z,106.2017,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:41.472408991Z,106.6534,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:43.472860509Z,99.2856,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:45.472593698Z,99.9149,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:47.473128359Z,98.9181,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:49.472713905Z,98.644,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:51.473067769Z,106.4281,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:53.47282012Z,99.5244,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:55.472240605Z,99.1599,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:57.473004048Z,99.1285,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:16:59.472283189Z,99.6176,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:01.472954118Z,106.018,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:03.472320172Z,98.8522,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:05.472965961Z,98.9788,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:07.472392406Z,98.795,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:09.472943081Z,98.8556,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:11.472385146Z,105.8861,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:14.472997394Z,98.4922,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:16.472531824Z,98.7572,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:18.472964638Z,99.1603,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:20.472528918Z,99.1934,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:22.472974532Z,105.8348,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:24.472441569Z,99.189,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:26.472994995Z,99.3427,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:28.472574605Z,99.3391,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:30.472975616Z,99.7388,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:32.472560425Z,105.7179,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:34.473061459Z,99.2824,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:36.472594575Z,98.824,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:38.473068228Z,99.1556,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:40.472531631Z,99.2471,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:42.472905659Z,106.1833,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
,,0,2024-01-26T11:16:29.410076174Z,2024-02-25T11:16:29.410076174Z,2024-02-24T14:17:44.472505057Z,99.0349,docker_cpu_usage_pct,NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),NFCORE_MAG:MAG:KRONA (kraken2-CAPES_S21) (39),360330,39
