#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:28:59.077269617Z,298.76,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:01.077788285Z,315.94,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:03.077290892Z,330.17,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:05.077621095Z,344.45,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:07.077350839Z,357.24,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:09.077962711Z,369.91,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:11.077555381Z,382.89,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:13.078106122Z,396.09,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:15.077699562Z,409.97,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
,,0,2024-01-26T11:17:21.372115124Z,2024-02-25T11:17:21.372115124Z,2024-02-24T17:29:17.078382398Z,422.82,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S11-CAPES_S21) (52),1415171,52
