#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:00.975954682Z,232.9856,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:02.975597105Z,231.8809,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:04.975861418Z,235.214,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:06.975508211Z,233.6912,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:08.976123306Z,233.7225,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:10.975502031Z,227.5702,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:12.975927119Z,220.1967,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:14.975566423Z,222.4228,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:16.976028842Z,220.0597,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
,,0,2024-01-26T11:17:21.696091066Z,2024-02-25T11:17:21.696091066Z,2024-02-24T17:36:18.975446629Z,222.8298,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_ALIGN (MEGAHIT-CAPES_S21-CAPES_S7) (59),1478990,59
