#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:33:52.239061889Z,106.3182,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:33:54.23850122Z,107.1597,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:33:56.239235913Z,106.2708,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:33:58.238703966Z,106.7553,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:00.239251663Z,101.8921,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:02.238704455Z,106.2638,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:04.239430268Z,100.1005,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:06.238745627Z,99.9244,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:08.238295622Z,100.2795,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:10.238887351Z,100.09,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:12.238221451Z,105.8301,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:14.238798289Z,100.0943,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:16.238634095Z,99.9985,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:18.239010217Z,100.0089,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:20.238522962Z,99.9786,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:22.239200625Z,106.2102,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:24.238676998Z,99.4469,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:26.239341761Z,100.3195,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:28.238719283Z,100.2844,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:30.238515897Z,99.7962,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:32.239003764Z,106.1235,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:34.23854781Z,100.0085,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:36.239052818Z,100.2006,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:38.238584925Z,99.7294,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:40.239170954Z,100.1093,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:42.238693161Z,106.2068,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:44.239263791Z,100.349,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:46.238661203Z,100.3088,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:48.239214082Z,100.3121,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:50.242666644Z,100.8414,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:52.239278648Z,105.5708,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:54.23865855Z,99.7234,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:56.239159668Z,100.1048,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:34:58.238896172Z,100.2529,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:35:00.238314346Z,100.069,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:35:02.238852815Z,105.9503,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
,,0,2024-01-26T11:17:22.039676284Z,2024-02-25T11:17:22.039676284Z,2024-02-24T17:35:04.23829327Z,99.6056,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),NFCORE_MAG:MAG:BINNING_PREPARATION:BOWTIE2_ASSEMBLY_BUILD (MEGAHIT-CAPES_S21) (55),1452211,55
