#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.018704978Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/.command.trace,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.042041043Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.048767538Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.05383582Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/cgp_param_21features_accuracy_largerGrid.convDivCorrect.cfg,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.057827128Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/cgp_param_21features_accuracy_largerGrid.convDivCorrect.cfg,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.061098542Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/log_reg_parameters_arabidopsis.cfg,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.06509623Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/log_reg_parameters_default.cfg,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.068749516Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/log_reg_parameters_fly.cfg,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.072655691Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/log_reg_parameters_human.cfg,525184,309
,,0,2024-01-26T11:17:42.649737655Z,2024-02-25T11:17:42.649737655Z,2024-02-24T23:43:28.077471965Z,CREATE,file_event,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.35.fa) (309),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/03/41dbfdc41e2dd116df59508770b16f/augustus_config/cgp/log_reg_parameters_primates.cfg,525184,309
