#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:09.018756622Z,20.88,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:11.017999278Z,70.91,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:13.021561962Z,72.43,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:16.018152352Z,137.25,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:17.018639594Z,92.46,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:20.024122345Z,429.63,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:22.024035032Z,99.02,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:24.024035347Z,102.41,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:26.02386859Z,252.37,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:28.020792884Z,466.45,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
,,0,2024-01-26T11:17:44.53041561Z,2024-02-25T11:17:44.53041561Z,2024-02-24T23:50:30.018516211Z,983.44,docker_used_memory_mb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),NFCORE_MAG:MAG:BUSCO_QC:BUSCO (MEGAHIT-MetaBAT2-CAPES_S21.6.fa) (366),865256,366
