#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:38.535780085Z,283.7354,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:40.535408108Z,323.6322,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:42.536343518Z,281.5245,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:44.535523638Z,288.6887,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:46.535312634Z,289.0312,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:48.535725976Z,272.6541,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:50.535314267Z,299.4952,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:52.535786152Z,266.8946,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:54.535625792Z,270.55,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.423541623Z,2024-02-25T11:17:46.423541623Z,2024-02-24T15:17:56.536229812Z,300.3834,docker_cpu_usage_pct,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
