#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:38.535780085Z,89.56,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:40.535408108Z,147.94,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:42.536343518Z,198.35,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:44.535523638Z,238.26,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:46.535312634Z,238.67,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:48.535725976Z,240.73,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:50.535314267Z,243.86,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:52.535786152Z,243.86,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:54.535625792Z,246.85,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:56.536229812Z,248.93,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:17:58.535907949Z,249.16,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:00.535917701Z,251.6,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:02.53529351Z,252.56,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:04.536216212Z,254.12,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:06.535871071Z,256.61,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:08.535320738Z,256.85,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:10.535845645Z,258.59,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:12.535319245Z,261.06,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:14.535858963Z,261.86,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:16.535585062Z,263.77,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:18.535864533Z,267.14,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:20.535468839Z,266.12,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:22.535836013Z,268.18,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:24.535574344Z,271.28,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:26.535934669Z,126.73,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:28.535470325Z,1300.84,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:30.535957934Z,1756.05,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:32.535532971Z,1756.03,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:34.536059313Z,1756.69,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:36.535411094Z,1756,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:38.536399881Z,1756,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:40.53570191Z,1756.09,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
,,0,2024-01-26T11:17:46.368838169Z,2024-02-25T11:17:46.368838169Z,2024-02-24T15:18:42.536313026Z,1756.04,docker_used_memory_mb,NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),NFCORE_MAG:MAG:MEGAHIT (CAPES_S21) (35),684546,35
