#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:28:57.154592851Z,35.81,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:28:59.154877073Z,59.33,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:01.154400818Z,78.43,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:03.153867891Z,79.04,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:05.154658014Z,80.18,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:07.154142733Z,80.81,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:09.154613423Z,81.21,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:11.154105269Z,81.7,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:13.154909906Z,81.72,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:15.162378646Z,82.23,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:17.154199842Z,82.85,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:19.154725545Z,83.06,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:21.154327858Z,83.38,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:23.154751405Z,83.93,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:25.154362784Z,84.5,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:27.15609645Z,84.79,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:29.154296311Z,87.8,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:32.156205713Z,88.67,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:34.160048301Z,86.95,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:36.154882749Z,86.98,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
,,0,2024-01-26T11:17:46.939609974Z,2024-02-25T11:17:46.939609974Z,2024-02-24T23:29:38.168082114Z,87.58,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.006) (574),3995525,574
