#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:44:48.464825057Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/.command.trace,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:44:48.636538Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:44:48.640773075Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.log,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:44:49.065503477Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.fna,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:45:27.47522288Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.IS.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:45:28.960322055Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.IS.tmp.33.blast,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:17.49295289Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.IS.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:17.495426289Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.IS.tmp.33.blast,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:17.497183165Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.AMR.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:18.677788495Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.AMR.tmp.33.blast,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:58.341671902Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.AMR.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:58.344537879Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.AMR.tmp.33.blast,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:58.348352362Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.sprot.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:46:59.545493411Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.sprot.tmp.33.blast,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:50:31.558391801Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.sprot.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:50:31.571682387Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.sprot.tmp.33.blast,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:50:31.574541309Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.HAMAP.hmm.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:50:32.427337638Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.HAMAP.hmm.tmp.33.hmmer3,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:51:30.227074621Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.HAMAP.hmm.tmp.33.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:51:30.229395433Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.HAMAP.hmm.tmp.33.hmmer3,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:51:30.325148606Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.gff,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:51:30.328342229Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.faa,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:51:30.330962012Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.ffn,591728,532
,,0,2024-01-26T11:17:47.317634098Z,2024-02-25T11:17:47.317634098Z,2024-02-24T23:51:30.33345415Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.011) (532),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/4f/de1e06fc0a86dd5aa90f28fa1d7d00/MEGAHIT-MaxBin2-CAPES_S11.011/MEGAHIT-MaxBin2-CAPES_S11.011.tbl,591728,532
