#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:05.248089683Z,41.32,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:07.246569203Z,75.15,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:09.246048395Z,77.55,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:11.246416715Z,78.69,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:13.246094494Z,79.98,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:15.246700652Z,80.28,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:17.246267697Z,81.14,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:19.246793413Z,81.86,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:21.246289405Z,82.32,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
,,0,2024-01-26T11:17:52.471434493Z,2024-02-25T11:17:52.471434493Z,2024-02-24T23:02:23.246735819Z,83.27,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.13) (336),2583179,336
