#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:15.378964187Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/.command.trace,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:15.534309958Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:15.537931162Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.log,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:15.942723167Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.fna,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:19.060529112Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.IS.tmp.32.faa,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:19.147622981Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.IS.tmp.32.blast,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:22.084734362Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.IS.tmp.32.faa,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:22.088137279Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.IS.tmp.32.blast,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:22.090600327Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.AMR.tmp.32.faa,2416437,320
,,0,2024-01-26T11:17:52.913975409Z,2024-02-25T11:17:52.913975409Z,2024-02-24T22:59:22.153420717Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S21.2) (320),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/11/030ad59df872e649a759ee1a927018/MEGAHIT-MetaBAT2-CAPES_S21.2/MEGAHIT-MetaBAT2-CAPES_S21.2.AMR.tmp.32.blast,2416437,320
