#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:45.365290606Z,121.4171,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:47.365679087Z,112.8416,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:49.36526399Z,215.8978,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:51.365808601Z,173.2034,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:53.365260264Z,188.6296,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:55.366013356Z,221.1625,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:57.365251827Z,200.8772,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:24:59.365751096Z,202.4149,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:25:01.365186558Z,222.9946,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:25:03.365671441Z,198.9014,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
,,0,2024-01-26T11:17:56.609541782Z,2024-02-25T11:17:56.609541782Z,2024-02-24T23:25:05.365037706Z,163.1495,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.39) (508),3763812,508
