#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:39.879569246Z,68.22,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:41.878996104Z,60.41,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:43.879830339Z,67.65,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:45.879496566Z,36.84,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:47.879862186Z,73.18,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:49.879953858Z,79.92,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:51.879113709Z,81.54,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:53.879935114Z,66.96,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:55.879232671Z,32.1,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:17:58.058962842Z,2024-02-25T11:17:58.058962842Z,2024-02-24T22:58:57.879678775Z,81.46,docker_used_memory_mb,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
