#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:33.831532078Z,302.8211,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:35.831972436Z,304.3218,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:37.831675837Z,305.4599,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:39.831041775Z,302.9954,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:41.831582919Z,305.9487,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:43.83115607Z,299.7468,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:45.832037861Z,298.2476,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:47.831504403Z,303.7993,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:50.831986984Z,303.552,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
,,0,2024-01-26T11:15:37.044760257Z,2024-02-25T11:15:37.044760257Z,2024-02-24T18:24:54.831795635Z,316.1877,docker_cpu_usage_pct,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S11) (61),1810352,61
