#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:23:54.431143604Z,46.69,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:23:56.430629967Z,46.99,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:23:58.430276622Z,48.48,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:00.430954849Z,48.48,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:02.430257528Z,49.39,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:04.430860547Z,49.7,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:06.430507483Z,48.6,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:08.43086634Z,48.5,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:10.430622074Z,48.71,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
,,0,2024-01-26T11:15:37.083404753Z,2024-02-25T11:15:37.083404753Z,2024-02-24T18:24:12.431074249Z,48.62,docker_used_memory_mb,NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),NFCORE_MAG:MAG:BINNING:METABAT2_JGISUMMARIZEBAMCONTIGDEPTHS (CAPES_S21) (62),1807303,62
