#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:32.233715965Z,119.75,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:34.233161202Z,122.89,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:36.233178187Z,125.8,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:38.23286084Z,127.24,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:40.232578684Z,128.42,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:42.232282438Z,128.9,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:44.23292297Z,129.66,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:46.232367924Z,131.88,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:48.231954242Z,132.34,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
,,0,2024-01-26T11:18:14.112010698Z,2024-02-25T11:18:14.112010698Z,2024-02-24T11:22:50.232842012Z,133.17,docker_used_memory_mb,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S11) (6),3023890,6
