#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T11:37:06.518526581Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/.command.trace,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T11:37:07.742693241Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_NanoPlot_20240224_1137.log,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:01:58.980505107Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_NanoStats.txt,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:02:06.068776684Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_HistogramReadlength.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:02:07.600962364Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_LogTransformed_HistogramReadlength.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:02:10.877447491Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_Weighted_HistogramReadlength.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:02:12.324525381Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_Weighted_LogTransformed_HistogramReadlength.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:02:13.672910774Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_Dynamic_Histogram_Read_length.html,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:02:47.008257301Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_Yield_By_Length.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:03:19.036953515Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_LengthvsQualityScatterPlot_dot.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:03:22.969446888Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_LengthvsQualityScatterPlot_kde.png,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:04:07.718701276Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/raw_NanoPlot-report.html,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:04:09.700838754Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/versions.yml,3107093,10
,,0,2024-01-26T11:18:14.241151854Z,2024-02-25T11:18:14.241151854Z,2024-02-24T12:04:11.344840319Z,CREATE,file_event,NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),NFCORE_MAG:MAG:NANOPLOT_RAW (CAPES_S21) (10),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/71/6bf0279ea1bca840903a91efad6ac5/.exitcode,3107093,10
