#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:16.228579345Z,105.5152,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:18.22714123Z,105.6294,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:20.226959344Z,105.9991,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:22.226898502Z,105.3911,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:24.227448088Z,106.072,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:26.227171096Z,104.9358,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:28.227124102Z,101.0656,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:30.226852449Z,100.176,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:32.226849465Z,99.7312,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
,,0,2024-01-26T11:16:47.609025823Z,2024-02-25T11:16:47.609025823Z,2024-02-24T11:22:34.22750571Z,100.4319,docker_cpu_usage_pct,NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),NFCORE_MAG:MAG:PORECHOP (CAPES_S11) (7),3023888,7
