#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:01:50.397824663Z,51.31,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:01:52.397463458Z,53.82,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:01:54.397947244Z,54.04,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:01:56.397270246Z,54.98,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:01:58.397543993Z,56.04,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:00.397174212Z,56.18,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:02.397531209Z,56.54,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:04.397069353Z,57.05,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:06.397412806Z,56.98,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:08.396866575Z,57.14,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:10.3973636Z,57.7,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:12.396892528Z,57.55,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:14.397506634Z,58.07,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
,,0,2024-01-26T11:16:39.446055292Z,2024-02-25T11:16:39.446055292Z,2024-02-24T17:02:16.397052831Z,58.11,docker_used_memory_mb,NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),NFCORE_MAG:MAG:PRODIGAL (CAPES_S11) (50),1205421,50
