#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:33:52.248388695Z,108.6387,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:33:54.249015005Z,108.9018,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:33:56.248420625Z,109.5646,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:33:58.248738605Z,109.2608,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:34:00.248035962Z,103.82,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:34:02.248552689Z,108.4331,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:34:04.248243379Z,100.0376,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:34:06.248693943Z,99.9385,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:34:08.248126005Z,100.3386,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
,,0,2024-01-26T11:16:39.513267856Z,2024-02-25T11:16:39.513267856Z,2024-02-24T17:34:10.248659752Z,100.1295,docker_cpu_usage_pct,NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),NFCORE_MAG:MAG:PRODIGAL (CAPES_S21) (54),1452225,54
