#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:27:20.322985686Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/.command.trace,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:27:20.504646456Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:27:20.509776551Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.log,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:27:21.027868268Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.fna,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:27:56.798923651Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.IS.tmp.30.faa,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:27:57.40482305Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.IS.tmp.30.blast,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:28:24.703056828Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.IS.tmp.30.faa,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:28:24.705692323Z,DELETE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.IS.tmp.30.blast,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:28:24.707640185Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.AMR.tmp.30.faa,3918287,578
,,0,2024-01-26T11:18:02.305823896Z,2024-02-25T11:18:02.305823896Z,2024-02-24T23:28:25.53810058Z,CREATE,file_event,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MaxBin2-CAPES_S11.018) (578),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/3b/dcbcc3beefe98e3593f4faed1b57b2/MEGAHIT-MaxBin2-CAPES_S11.018/MEGAHIT-MaxBin2-CAPES_S11.018.AMR.tmp.30.blast,3918287,578
