#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:15:55.627333541Z,35.5,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:15:57.626708553Z,54.05,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:00.626783326Z,75.49,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:02.626724478Z,77.1,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:04.62871379Z,77.58,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:06.627014353Z,79,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:08.627041456Z,79.45,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:10.628156106Z,80,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:12.626760008Z,80.41,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:14.626258781Z,44.45,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:16.626540143Z,82.9,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:18.62661845Z,82.94,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:20.626520885Z,83.24,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:22.626125433Z,83.23,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
,,0,2024-01-26T11:18:05.736857904Z,2024-02-25T11:18:05.736857904Z,2024-02-24T23:16:24.626684435Z,83.41,docker_used_memory_mb,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S11.39) (414),3299390,414
