#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:26:59.42911145Z,175.6274,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:01.431617841Z,116.0054,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:03.430410151Z,113.3611,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:05.430514321Z,217.3164,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:07.429835924Z,227.1708,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:09.429412733Z,204.4301,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:11.429932911Z,198.0526,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:13.429379122Z,192.572,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:15.430395611Z,199.4911,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:17.429548729Z,199.0334,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:19.429792699Z,149.8511,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:21.429279583Z,181.4933,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:23.429736367Z,191.5291,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:25.429238238Z,171.4913,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:27.430134051Z,192.0556,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
,,0,2024-01-26T11:18:11.11271328Z,2024-02-25T11:18:11.11271328Z,2024-02-24T23:27:29.429490064Z,193.4223,docker_cpu_usage_pct,NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),NFCORE_MAG:MAG:PROKKA (MEGAHIT-MetaBAT2-CAPES_S7.41) (517),3887463,517
