#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:28.425774222Z,114.8133,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:30.42544837Z,105.8861,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:32.425769838Z,106.1032,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:34.425459197Z,192.2823,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:36.425868348Z,281.7917,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:38.425283128Z,101.8738,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:40.425860306Z,147.8919,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:42.425131302Z,101.9717,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:44.42573459Z,203.7499,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:46.425277784Z,113.1189,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:49.427477948Z,173.2627,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:51.42501367Z,103.1818,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:53.428431438Z,102.0253,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:55.428570962Z,110.4462,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
,,0,2024-01-26T11:16:33.566658335Z,2024-02-25T11:16:33.566658335Z,2024-02-24T23:04:57.424812593Z,195.2613,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),2704903,304
