#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:24.862633181Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/.command.trace,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:24.993639943Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:24.996926247Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.000139999Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/metaquast.log,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.563720692Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/quast_corrected_input,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.651264867Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/quast.log,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.654644213Z,DELETE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/quast_corrected_input,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.656185082Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/quast_corrected_input,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.710525344Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/quast_corrected_input/MEGAHIT_MetaBAT2_CAPES_S11_12_fa.fa,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.727463981Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/basic_stats,2704903,304
,,0,2024-01-26T11:16:33.603357321Z,2024-02-25T11:16:33.603357321Z,2024-02-24T23:04:25.740478914Z,CREATE,file_event,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S11) (304),/home/jfechner/test-nfcore-workflows/profile_test_full/mag/work/b1/523c36a82c9f7cdddec469942af60c/QUAST/MEGAHIT-MetaBAT2-CAPES_S11.12.fa/contigs_lengths.json,2704903,304
