#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:39.879569246Z,364.505,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:41.878996104Z,644.2327,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:43.879830339Z,331.1541,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:45.879496566Z,418.9182,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:47.879862186Z,389.0819,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:49.879953858Z,102.6577,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:51.879113709Z,103.0837,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:53.879935114Z,384.2535,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:55.879232671Z,339.1214,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:57.879678775Z,103.8914,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:58:59.879422286Z,320.2312,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:59:01.87984875Z,362.7253,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:59:03.879709555Z,600.2231,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:59:05.880086948Z,247.365,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
,,0,2024-01-26T11:15:40.526531998Z,2024-02-25T11:15:40.526531998Z,2024-02-24T22:59:07.879502549Z,519.9749,docker_cpu_usage_pct,NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),NFCORE_MAG:MAG:QUAST_BINS (MEGAHIT-MetaBAT2-unclassified-unrefined-CAPES_S21) (303),2416315,303
