#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:10.474077096Z,7.6578,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:12.472593182Z,7.5251,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:14.473204724Z,107.1661,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:16.472936749Z,107.1337,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:18.472621823Z,107.2784,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:20.473267047Z,104.7119,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:22.473078465Z,100.1247,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:24.472719947Z,100.2176,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:26.473412383Z,100.1871,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
,,0,2024-01-25T10:55:54.330937963Z,2024-02-24T10:55:54.330937963Z,2024-02-23T04:17:28.473152739Z,100.25,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961102_GSM3415666_MShef11_low_oxygen) (16),1980291,16
