#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:07.053033302Z,19.95,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:09.052326021Z,23.01,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:11.052875661Z,172.51,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:13.05244308Z,732.7,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:15.052992421Z,1093.25,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:17.052368775Z,1442.25,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:19.05305598Z,1732.63,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:21.052477445Z,2121.75,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:23.052365146Z,2461.09,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:25.052851826Z,2857,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:27.052611143Z,3258.55,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:29.053019712Z,3257.5,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:31.052309754Z,3264.73,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:33.052979021Z,3273.91,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:35.052378728Z,3280.59,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:37.052967323Z,3289.29,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
,,0,2024-01-25T10:55:54.38816512Z,2024-02-24T10:55:54.38816512Z,2024-02-23T21:01:39.052547335Z,3295.09,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen) (20),650664,20
