#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:45.953455826Z,22.6756,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:47.954107542Z,6.9052,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:49.95358476Z,91.0743,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:51.954037879Z,107.1829,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:53.953572549Z,105.44,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:55.954209384Z,105.592,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:57.953716263Z,99.5046,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:46:59.954142061Z,98.9818,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:47:01.953695991Z,99.472,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
,,0,2024-01-25T10:55:55.102865211Z,2024-02-24T10:55:55.102865211Z,2024-02-23T06:47:03.954202172Z,99.3098,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961161_GSM3415725_MShef4) (18),2552259,18
