#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:18.721534187Z,198.7797,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:20.722162468Z,199.559,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:22.721777019Z,202.2736,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:24.721309841Z,196.6967,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:26.721926099Z,196.6894,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:28.721371873Z,203.0998,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:30.721695918Z,193.6554,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:32.721175308Z,184.5718,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:34.721776547Z,183.4136,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
,,0,2024-01-25T10:55:58.706211435Z,2024-02-24T10:55:58.706211435Z,2024-02-24T00:38:36.721144849Z,187.5572,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961104_GSM3415668_MShef11_low_oxygen) (41),1449025,41
