#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:55:52.466428384Z,30.28,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:55:54.466727059Z,45.82,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:55:56.466440365Z,62.29,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:55:58.466911386Z,72.92,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:56:00.466361715Z,91.51,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:56:02.466714552Z,102.77,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:56:04.466279625Z,113.63,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:56:06.466861339Z,124.41,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:56:08.466426901Z,134.79,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
,,0,2024-01-25T10:55:58.757647095Z,2024-02-24T10:55:58.757647095Z,2024-02-23T23:56:10.466743867Z,160.93,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (SRR7961150_GSM3415714_MShef4) (35),1336215,35
