#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:21.722511752Z,105.7455,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:23.72303534Z,107.163,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:25.722617377Z,106.4677,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:27.723039892Z,106.2398,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:29.722548056Z,106.346,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:31.722941119Z,99.8996,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:33.722565748Z,100.4619,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:35.723053053Z,99.7431,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:37.722692852Z,100.1754,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:39.722980992Z,105.2981,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:41.72261363Z,99.9334,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:43.723047703Z,100.0233,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:45.72263295Z,104.8361,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:47.723002841Z,100.3476,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:49.722580917Z,100.3787,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:51.723043821Z,99.6804,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:53.722792822Z,100.7902,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:55.723169874Z,105.2481,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
,,0,2024-01-25T10:55:53.566246075Z,2024-02-24T10:55:53.566246075Z,2024-02-23T04:54:57.72278407Z,100.3395,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961102_GSM3415666_MShef11_low_oxygen) (24),2139405,24
