#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:00.208650212Z,12.08,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:02.208025875Z,15.05,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:04.208324801Z,14.73,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:06.208086321Z,15.12,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:08.208342629Z,15.96,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:10.208721243Z,15.2,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:12.208369073Z,15.2,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:14.208699489Z,15.71,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:16.208165226Z,15.31,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
,,0,2024-01-25T10:55:53.613667084Z,2024-02-24T10:55:53.613667084Z,2024-02-23T21:37:18.208669542Z,17,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen) (39),864797,39
