#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:15:55.384606159Z,13.25,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:15:57.385004243Z,15.34,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:15:59.384703654Z,16.02,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:01.38512971Z,16.12,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:03.384588434Z,17.84,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:05.385131735Z,16.61,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:07.384404515Z,16.59,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:09.385079751Z,20,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:11.384368852Z,19.8,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
,,0,2024-01-25T10:55:53.804897046Z,2024-02-24T10:55:53.804897046Z,2024-02-23T09:16:13.384874934Z,21.25,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961161_GSM3415725_MShef4) (33),3002839,33
