#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:38.138198424Z,480.6594,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:40.136624059Z,390.9013,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:42.135982154Z,378.1134,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:44.136646951Z,402.927,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:46.136933455Z,381.487,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:48.136651921Z,386.3586,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:50.136943515Z,379.9799,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:52.136700571Z,378.5089,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:54.137127858Z,340.7111,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:56.136697147Z,366.8734,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:32:58.137245958Z,394.0305,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:01.136881545Z,397.5219,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:03.136392741Z,380.3539,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:05.136783515Z,369.2268,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:07.136330951Z,373.3158,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:09.13689368Z,369.6305,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:11.136374613Z,372.4294,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:13.136774407Z,375.928,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:15.136319261Z,342.5685,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:17.136480416Z,404.0009,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:19.136241327Z,389.2303,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:21.136578766Z,345.2943,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:23.135912413Z,373.5411,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
,,0,2024-01-25T10:55:57.005335786Z,2024-02-24T10:55:57.005335786Z,2024-02-23T23:33:25.136474019Z,377.4285,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961102_GSM3415666_MShef11_low_oxygen) (45),1237842,45
