#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:34.418886341Z,558.0035,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:36.418431288Z,368.9922,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:38.41903854Z,371.5736,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:40.41870373Z,388.2371,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:42.419143226Z,358.6233,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:44.418728783Z,367.6169,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:46.419122626Z,366.766,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:48.418801027Z,391.5111,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:50.418397374Z,372.6851,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
,,0,2024-01-25T10:55:57.378551598Z,2024-02-24T10:55:57.378551598Z,2024-02-23T23:37:52.41891283Z,361.9738,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),NFCORE_METHYLSEQ:METHYLSEQ:QUALIMAP_BAMQC (SRR7961163_GSM3415727_MShef4) (48),1267731,48
